MID Number,Story
4064,"This dispute consists of a series of incidents in which China seeks to intimidate Taiwan away from moves toward independence and Taiwanese and American responses to these Chinese actions. China deployed missiles opposite Taiwan, intercepted Taiwanese vessels, conducted military exercises, and conducted air and naval shows of force. In response, Taiwan repeatedly placed its forces on alert, deployed missiles, and scrambled jets. Beginning in 12/95, the US deployed naval forces to the area as a show of force to China. American naval forces were sent to the region again in March 1996."
4065,"This dispute involves three incidents. The first two incidents involved Chinese military exercises that practiced landings on the Korean peninsula. The reports indicated that the exercises were ""a show for the United States and South Korea."" The exercises occurred on 8/23/94. The third incident occurred when China scrambled jets in response to the American tracking of a North Korean sub with sonar. In this respect, this dispute reflects Chinese efforts to demonstrate its resolve to aid North Korea in the event of conflict with the US and South Korea"
4066,"Ghana placed its military on 3rd degree high alert after Togolese troops killed two Ghanians in a rampage in Togo. Troops continued to loot and terrorize citizens, resulting in a refugee crisis in Ghana and Benin. Ghana's alert appears to have been a precautionary measure to avoid a spill over of the civil unrest and to deal with the large number of refugees. "
4067,A Chadian border guard was killed when he (along with several others) crossed into Niger in pursuit of rebels. 
4068,"Chad announced that soldiers from Niger are occupying islands on lake Chad, which are in Chad's territorial waters. Negotiations over ownership of the islands failed."
4069,"Zairean navy seized a ""heavily armed"" Congolese navy boat after it crossed into Zairean territory. The Congolese crew members were interrogated and were released--along with the boat--after diplomatic exchange between DRC and Congo."
4071,"Angolan aircraft accidentally bombed a Zairean military base on or around 10/18/94. Angola apologized immediately, citing bad weather as the cause. Zaire sent 200+ troops to the Angolan border in response to the incident. Reports indicate that Zairean troops harassed Angolan citizens, but no military fatalities were reported."
4072,"This dispute is about Iranian dissatisfaction with the Iraqi policy of harboring Iranian opposition groups on the Iraqi territory. On 3/13/1993 six Iranian fighter jets attacked the bases of the Iranian Kurds (Kurdish Democratic Party) located in northern Iraq. On 4/19/1993 Iranian troops fire rockets at Kurdish settlements in northern Iraq. On 5/14/1993 Iranian armed forces shelled Kurdish-controlled northern Iraq. On 5/25/1993 Iran attacked two bases of an Iranian opposition group, Mujaheeden-i-Khalq, in Iraq. On 6/24/1993 Iran attacked on Kurdish bases in Iraq. Finally, on 7/21/1993 to 7/25/1993 Iran attacked several Kurdish villages in northern Iraq. Iraq protested all these military actions by Iran."
4073,"Egypt warns Iran against placing warships in Port Sudan. Iran and Sudan deny that the ships were ever there. Egypt apparently became suspicious when Sudan a month earlier called for an Iraq, Iran, and Sudan alliance. A couple of days before this MID Sudan seized an Egyptian university in Khartoum."
4075,"The origins of this dispute go back to 1988, when the Bougainville Revolutionary Army wanted to join Solomon Islands. The dispute is related to three consecutive militarized incidents between Papua New Guinea and Solomon Islands. The first incident (OC00003) is an exchange of fire between Solomon Islands ground forces based on Shortland Island and an aircraft belonging to Papuan Defence Force. The second incident (OC 00002) is about the landing of four Papuan soldiers on the Solomon Island of Ovau and their subsequent attempt to land on the larger Mono Island. The final incident (OC00025) is a sea clash off Bougainville Island between patrol boats from Papua New Guinea and Solomon Islands on the eve of the resumption of border talks."
4076,"This dispute is based on three incidents between Papua New Guinea and Solomon Islands. The first incident (OC 00006) is related to the incursions of the Papuan patrol boats into the Solomon Islands waters and their firing on a village in ""hot pursuit of rebels from Bougainville"" (according to the Papuan Prime Minister). The second incident (OC 00008) occurred when one of the Solomon Islands patrol boats forced a Papuan defense vessel to turn back in Solomon waters by firing warning shots. The final incident (OC 00007) is related to the illegal border crossings of Papuan Defense Force soldiers into the Solomons’ territory. It is claimed by Solomon Islands that the Papuan troops crossed from Bougainville to Telube in the Shortlands, and crossed to Sasamungga in Choiseul Province. Papua New Guinea's military commander defended these incursions into the Solomons’ territory by resistance forces on Bougainville that are allied to the Papuan army. He accused Solomon Islands border police of not cooperating with Papua New Guinea to keep the border sealed."
4078,Uganda and Sudan are both battling rebel groups in their border area and accuse one another of supporting rebels. This dispute consists of a series of border violations and small-scale skirmishes. 
4079,"This dispute between Ethiopia and Sudan started with various reports that Sudanese civilians were stealing materials (trees for firewood) from Ethiopia. Ethiopian forces sent to protect civilians and their property then clashed with Sudanese forces on several occasions. Aside from border issues, each government repeated accused the other of provocative behavior. Ethiopia (as with other states in the area) accused Sudan of exporting Islamic fundamentalist terrorism, while Sudan accused Ethiopia of actively supporting Sudanese rebels."
4081,"Eritrea accuses Sudan of exporting terrorism to create Islamic regimes in the region. Sudan also accuses Eritrea of sponsoring opposition parties that seek to topple the Sudanese government. Sudan militarized this disagreement in response to a meeting of Sudanese opposition forces in Asmara, the capital of Eritrea. Eritrea openly supported this effort to coordinate opposition forces, and Sudan feared an attack from these groups from the East."
4082,"Following its independence from Ethiopia in 1993, Eritrea has been involved in several disputes (diplomatic and militarized) with its neighbors and nearby countries. This dispute between Eritrea and Djibouti involves territory. Eritrea claims a 500-sq.km piece of territory in northern Djibouti based on a 1935 Italian colonial map. In the two incidents included in this dispute, Djibouti objected to an Eritrean military incursion into the area in late 1995 and the shelling of a frontier post by Eritrean forces in 1996. No deaths occurred in this dispute. Media sources speculate that Eritrea was suspicious of Djibouti based on its relatively close relationship with Yemen, a country that had a more serious dispute with Eritrea in the mid-1990s."
4083,"Relations between Kenya and Uganda deteriorated in March 1995, leading up to a Ugandan troop build-up along the northeastern border with Kenya. The troop deployment, starting March 22, was aimed at curbing alleged incursions into Uganda by Kenya security forces. Uganda claimed that Kenyan security forces entered Uganda, burnt villages and killed the father of a prominent Ugandan parliamentarian. Relations between Kenya and Uganda had been tense following Uganda’s refusal to hand over the leader of an alleged Kenyan guerrilla movement, Brig. John Odongo, from exile in Uganda, who has since been relocated to Ghana. In early March, 200 attackers believed to belong to the February Eighteen Movement raided a police post in western Kenya killing administration policemen and getting away with 13 guns and 1,300 rounds of ammunition. The Kenyan border violation was in response to this rebel attack originating from Uganda. "
4084,"Relations between Kenya and Uganda deteriorated in March 1995, with both accusing the other of harboring armed opposition groups. Kenya violated the Ugandan border in search of Kenyan rebels in March 1995, and Uganda responded with a troop buildup along the border. This dispute (#4083) was left unsettled. Then later in November 1995, another dispute involved a Kenyan military buildup along the border, which Kenya said was justified by fears that Uganda was about to invade “with the help of Kenyan rebels and South African mercenaries.” Leaders of both countries met in early 1996 to remove the suspicion that had built up in 1995. Both pledged cooperation in the fight against bandits and rebels along their common border in the future."
4085,"Nigerian planes bombed a bridge between Cote d’Ivorie and Liberia to prevent support of Liberian rebel group. Jets are part of ECOMOG. Ivory Coast soldiers fired at the Nigerian Plane. Similar incident had happened on 2/27 which was followed by a Nigerian apology for ""mistake"". "
4086,"This dispute consisted of only one incident, the Kazakh seizure of weapons and ammunition bound for Afghanistan aboard a Bulgarian plane that was forced to land in Kazkhstan. Bulgaria protested the incident. This incident was not coded as part of dispute 55 because more than 6 months elapsed between incidents. This dispute consisted of only one incident, the Kazakh seizure of weapons and ammunition bound for Afghanistan aboard a Bulgarian plane that was forced to land in Kazkhstan. Bulgaria protested the incident. This incident was not coded as part of dispute 55 because more than 6 months elapsed between incidents. "
4087,"This dispute consisted of 49 incidents that occurred between 10/10/94 and 9/99. Although this is a large number of incidents over a long period of time, the longest duration between incidents was approximately 5.5 months. In addition, the pattern in which the incidents occurred suggests that they are linked and should be considered as one dispute. In the dispute, North Korea continually challenges South Korean territorial boundaries along the DMZ and in the waters along the Northern Limit Line. South Korea responds by placing its forces on alert, conducting military exercises, showing ships and planes, and clashing with North Korean vessels that cross into South Korean waters and North Korea troops that cross the DMZ. Despite the distinction between the land and naval incursions by North Korea, their timing close together suggests a broader effort to challenge South Korean borders. On 4/10/97 (incident FE00190) North Korean troops crossed the DMZ into South Korean territory. Less than 2 months later (FE00194), North Korean vessels crossed into South Korean waters and a clash between North and South Korean vessels ensued. Slightly more than one later (FE00192), on 7/10/97 North Korean troops again crossed the DMZ and another clash ensued. Furthermore, throughout this period North Korean submersibles violated both South Korean waters and land. The South Korean reaction to these incidents also suggests that they were viewed as broader challenges to South Korean territory rather than separate challenges along the DMZ. For example, as a result of the 7/16/97 clash in the DMZ, South Korea placed its forces along both the DMMMZ and Northern Limit Line on alert in incident FE00217. During the dispute the incidents of highest severity included: 12/17/94 - North Korean forces shot down an American helicopter that had strayed across the DMZ (FE00038), 5/30/95-North Korea fired at and seized a South Korean fishing vessel that had strayed into North Korean waters, 6/5/97 - A clash between North and South Korean vessels when a North Korean vessel crossed into Southern waters (FE00194), 7/16/97-A clash between North and South Korean troops when 14 North Korean troops crossed the DMZ (FE00192), 9/9/97-South Korean forces intercepted and killed a North Korean soldier that had crossed teh DMZ (FE00199), 12/18/98-A clash occurred when South Korean forces chased and fired upon a North Korean semi-submersible that had crossed into South Korean territory (FE00238), 6/15/99-A naval clash ensued when South Korean vessels rammed North Korean vessels that were violating South Korean waters (FE00268 & FE00267). Interspersed between these major actions were threats, border fortifications, alerts, and shows of force."
4088,"This dispute consists of 19 militarized incidents involving China, Taiwan, and the US. The overriding issue throughout this dispute is Chinese concern that Taiwan is moving toward independence from the mainland. As a result, China conducted a series of alerts, threats, and shows of force aimed at intimidating Taiwan. The Chinese shows of force included military exercises, missile tests, the deployment of missiles near Taiwan, and increased fighter sorties by Chinese jets near Taiwan. Taiwan responded to these actions by repeatedly placing its forces on alert and launching its own fighters when China conducted sorties near Taiwan. The tensions increased in late July 1999 when Chinese jets crossed the dividing line separating Taiwan and China on 2 separate occasions. The US responded to the increased tensions by deploying two aircraft carrier groups to the region in July and August 1999. The threats and shows of force by both sides continued into 2000. In February 2000 China passed a guided missile destroyer purchased from Russia through the Taiwan Strait in an effort to intimidate Taiwan. The United States responded by deploying the USS Kitty Hawk air craft carrier group to the region in late February."
4089,"This dispute involved one incident between China and North Korea. In the dispute, North Korean and Chinese troops in the vicinity of Hyesan near the China-North Korea border clashed, exchanging gunfire. "
4090,Four Greek soldiers trespassed the Albanian border beating and firing at Albanian villagers in Albanian territory. Albania protested. 
4092,"Greece and Turkey clash over disputed territorial issues (mainly maritime) in the Aegean Sea. They also repeatedly violate each other's airspace, where one such confrontation results in the crash of a Turkish airplane."
4094,The dispute is about Cyprus's opposition to Turkish presence in northern Cyprus and Turkey's demand for the recognition of the Turkish Republic of Northern Cyprus (TRNC) as a legally independent state. On 10/6/1994 Turkish aircraft violated the Nicosia Flight Information Region and Cypriot government protested the Turkish action. On 3/6/1995 Turkey threatened to annex the Turkish enclave in northern Cyprus if the European Union opened talks on Cyprus' EU membership before the island's sovereignty is settled. On 8/23/1995 two Turkish reconnaissance aircraft violate Cypriot airspace. On 10/25/1995 and 11/14/1995 two Turkish F-16 fighters violated Cypriot airspace. Cypriot government protested.
4095,"This MID deals with the issues surrounding the island of Cyprus. Turkey, Greece, and Cyprus repeatedly violate each others territory and airspace. These violations are interrupted by the occasional display and threat of force. It does not end with a settlement; rather, the tensions simply cool."
4096,Russia moved a border post into Georgian territory for this period in the hopes of stemming the tide of illegal Georgian alcohol smuggling into Russia.
4097,"Albanian soldiers walked in Macedonian territory; Macedonian soldiers opened fire on them, causing the Albanian soldiers to flee."
4098,"Russian fighters intercepted a commercially chartered Ukrainian warplane in unspecified airspace and forced it to land. While Russia maintained that the plane was in its airspace, Ukraine denied on many occasions that it was, and issued a protest."
4100,Yugoslavia repeatedly showed force on its border with the East Slavonia section of Croatia. 
4101,Reports indicate that fortification between Croatia and Hungary lasted through November 1995; no indication that fortification was halted within 6 months. UN peacekeepers left East Slavonia in 1997. End date coded 6 months after beginning of continuous fortification.
4102,Reports indicate that fortification between Yugoslavia (Serbia) and Hungary lasted through November 1995; no indication that fortification was halted within 6 months. UN peacekeepers left East Slavonia in 1997. End date coded 6 months after beginning of continuous fortification. 
4103,"Russian defense minister ordered Russian troops in Latvia to go on alert in response to detention of 2 Russian generals by Latvian paramilitaries, and that Russian troops should take all measures to prevent provocations against Russian citizens in Latvia."
4104,"Chinese military servicemen opened fire on Russian fishermen fishing on the Agur River on the border between Siberia and Manchuria. According to reports, a group of Chinese, including servicemen, gestured to the Russian fishermen to come to the Chinese bank of the river. As they approached, Chinese forces opened fire on the fishermen, searched the boat, and confiscated its nets. A Russian civilian was wounded. Russia protested the action."
4105,"Russian helicopters made unauthorized flights over Lithuanian residential districts. Though Russia was apparently authorized to make some military flights in Lithuania, these were not approved. Lithuanian foreign minister issued a protest note."
4106,Russian warship sailed up to a Polish fishing boat in international waters where Russian maneuvers would be taking place and demanded that they leave immediately.
4107,"On February 26, 1997, the Russian coast guard seized a Polish fishing trawler, the Aquarius in the Sea of Okhotsk. There were questions about the validity of the boat’s fishing permit. An accord was signed between the vessel’s owner and the Russian Environmental Protection Committee, and the boat was allowed to leave on March 21. After picking up the crew, the boat was allowed to return to the fishing grounds in the Sea of Okhotsk. Coder: Ric Stoll. Date: 7/22/02"
4108,Ukrainian marines were put on alert and large landing and recon ships were put to sea in response to the movement of Rumanian warship detachment down the Danube.
4109,A group of Azeri border guards entered Georgian territory to protect a strategic bridge on grounds that they thought somebody was going to blow it up (this is linked with drug running and the belief by Azerbaijan that Georgia was not adequately protected by Georgians). Azerbaijan refused categorical demands by Georgia that they leave.
4111,Russia reinforced the Latvian-Russian border after Latvian Prime Minister stated Latvia was going to begin to unilaterally demarcate the contested border. 
4113,Iran fired Scud missiles at a rebel base inside Iraq on 11/6/1994. Iraq protested this action. 
4114,"Saudi Arabia and Yemen are under a long-standing border dispute. On 10/23/1994 Saudi warplanes reportedly intercept a civilian Yemeni plane, which the Yemeni foreign ministry is planning to protest. On 12/7/1994 Yemeni border troops clash with Saudi forces that had moved into areas in the Saada border region claimed by Yemen. On 1/1/1995 Saudi forces attacked the twon of al-Buqa in the disputed border area. On 1/10/1995 a clash breaks out between Saudi and Yemeni forces along their disputed border. On 1/14/1995 there is a military build- up by Saudi on Yemen's northern border. On 1/15/1995 Saudi aircraft reportedly enter Yemeni airspace. Later, YEM forces opened fire on Saudi aircrafts within Yemeni airspace. During the period of 1/24/1995 to 1/27/1995 Saudi reportedly masses forces along the disputed border."
4116,"Togo claims an incursion of up to 100 fighters (irregulars) from Ghana on Jan. 5. This claim is unsubstantiated. However, Togo closes its border with Ghana based on this unsubstantiated claim. Gun battles between Togolese forces and rebels go on until the 7th in and around Lome, Togo. Togo accuses Ghana of supporting the rebels and closes its border. Ghana denies any involvement and accuses Togo of aggression. This MID is the border closing by Togo."
4117,"Botswana and Namibia dispute the border demarcation along the Chobe River, and both claim several islands including Situngu Island. Situngu is submerged for much of the year, but is apparently cultivated when not submerged. Namibia claims Botswana is occupying the island--Botswana denies the claim. On Oct. 4, Botswana Defence Force soldiers reportedly told farmers to leave the area. Accusations by Namibia of Botswana's occupation follow in Jan 1998. Namibia claims Botswana wants to build military bases to thwart efforts at farming. Agreement reached on 1/22/98 violated almost immediately. Followed by a border violation by Namibia in April."
4118,"On 6/15/95, Tanzania put its military on alert against Burundi. Throughout 1995, Tanzania repeatedly accused Burundi of border violations. Finally, on 11/3/95, Tanzania threatened to invade Burundi. "
4119,This is part of an ongoing dispute between Nigeria and Cameroun over the Bakassi Peninsula area. Both countries claim the oil rich territory and engage in sporadic military incursions into each other's territory.
4121,"The long-running dispute over the Red Sea archipelago turned violent in November 1995, when Eritrean forces overran Greater Hanish, the largest island in the chain, killing six Yemeni soldiers and capturing about 200 others. Eritrea later released the Yemeni prisoners. France has tried to mediate the conflict since January 1996. Eritrea and Yemen agreed to a cease-fire and international arbitration in May 1996, but this was broken in August with further clashes over the smaller island called Lesser Hanish. Arbiters eventually agreed with the Yemeni argument that the chain was their territory, while also giving Eritrea some fishing rights in the area."
4122,"Violent cross-border artillery exchange between Rwandan and Zairean forces occurred in Sept. 1996 after shots were fired (possibly by Zairean rebels). Zaire has repeatedly accused Rwanda of supporting anti-government rebels in Zaire. By November, Rwanda was fully involved in the civil war in Zaire, fighting along side rebel forces. Rwanda remained in Zaire until May 1997. Rwandan officials fully admitted involvement in almost all of the key battles of the civil war. "
4123,"Relations have been hostile for several years due to Burundian refugees in Tanzania and cross border attacks. In September, a Burundian military boat violated Tanzanian waters and was fired upon and a separate border violation by Burundi occurred nearby. On October 27, a clash between Burundian and Tanzanian forces (primarily an artillery exchange) occurred. In November, residents of eastern Burundi observed a buildup of Tanzanian troops near the border."
4124,"Eritrea broke off relations with Sudan in December 1994, accusing Sudan of supporting its opposition group Islamic jihad movement in its effort to overthrow Eritrean president Isaias Afewerki. On its part, Sudan has accused the Eritrean government of giving shelter to armed Sudanese opposition groups, which use Eritrean borders as a springboard in attacking Sudanese military and civilian targets in a bid to topple the Sudanese Islamic government. Eritrean and Sudanese forces clashed numerous times between July 1996 and March 1998. The presidents of Sudan and Eritrea agreed at a meeting in May 1999 in Qatar to refrain from mutual hostile propaganda, cooperate on security issues and restore diplomatic relations."
4125,"This dispute consists of 2 incidents in which the United States and South Korea conducted landing exercises in the wake of suspicion that North Korea was preparing for a missile launch. The reports described the landings as a ""show of strength against North Korea"". Previously, on 6/16 the US increased patrols in the Yellow Sea, sending a guided missile cruiser, planes, and a destroyer."
4126,"This dispute consists of three disputes between Japan and South Korea over a three day period from 2/15/96 to 2/17/96. The dispute is over control of the Takeshima Islands, a series of islets approximately 150 km from both Japan and South Korea. The waters surrounding the islands are believed to be rich in both marine life and natural resources. As a result, because both states are attempted to claim the uninhabited islands, both states are coded as revisionist states. On 2/15/96 South Korea conducted exercises involving naval warships, fighter jets, a maritime police vessel, and a helicopter near the Takeshima Islands. Keesings described the exercises as ""an unambiguous show of force."" In response, Japan sent a patrol vessel to the area which was subsequently drive out by South Korean vessels as it attempted to approach the Takeshimas on two occasions between 2/15/96 and 2/17/96. This dispute consists of three disputes between Japan and South Korea over a three day period from 2/15/96 to 2/17/96. The dispute is over control of the Takeshima Islands, a series of islets approximately 150 km from both Japan and South Korea. The waters surrounding the islands are believed to be rich in both marine life and natural resources. As a result, because both states are attempted to claim the uninhabited islands, both states are coded as revisionist states. On 2/15/96 South Korea conducted exercises involving naval warships, fighter jets, a maritime police vessel, and a helicopter near the Takeshima Islands. Keesings described the exercises as ""an unambiguous show of force."" In response, Japan sent a patrol vessel to the area which was subsequently drive out by South Korean vessels as it attempted to approach the Takeshimas on two occasions between 2/15/96 and 2/17/96."
4127,This dispute consisted of one incident in which Japanese forces seized a South Korean fishing boat that was fishing in waters claimed as an exclusive economic zone for China and Japan. South Korea protested the seizure and Japan released the vessel 4 days later. This dispute consisted of one incident in which Japanese forces seized a South Korean fishing boat that was fishing in waters claimed as an exclusive economic zone for China and Japan. South Korea protested the seizure and Japan released the vessel 4 days later
4128,"This dispute is based on a series of bilateral incidents among China and Philippines, which occurred because of tensions about control over the disputed Spratly Islands by the claimant countries. In August 1998, Philippines engaged in a show of force by increasing patrols in the Spratly Islands as a result of the sighting of unspecified Chinese and Vietnamese vessels. Starting from October 28, 1998, Philippines protested against the intrusion of several armed Chinese vessels and cargo ships near a group of islands in the Spratlys. This incident is reported as China's show of force against Philippines and the end day is unclear. China was reported to be constructing structures on the area. In response to China's naval movements in the Spratlys, Philippines engaged in a counter show of force by increasing naval patrols in the area in order to prevent the entrance and exit of Chinese naval vessels (starting in November 1998). China protested the increase of Philippine patrols. On November 11, 1998, Philippines placed its forces on alert in the South China Sea in response to Chinese encroachment on one of the disputed reefs. The Philippine navy was ordered to ""shoot across the bow"" of any intruding Chinese ships. On November 29, 1998, Philippines arrested twenty Chinese fishermen fishing on the Spratly Islands and detained their boats. China protested the Philippine action. The reports state that the fishermen were still under detention as of December 21, 1998. On May 23, 1999, a Philippine navy vessel chased and collided with a Chinese fishing vessel near the Scarborough Shoal. The Chinese vessel sank as a result of the collision, which Philippines labeled as ""accidental."" China expressed ""strong displeasure"" for the incident. On July 19, 1999, a Philippine navy ship chased two Chinese fishing vessels in the Spratly Islands. The Philippine vessel fired warning shots at one of the fishing vessels before ramming the fishing boat. The Philippine side claimed that the ramming was accidental. China filed a protest in response to the Philippine show of force. On October 30, 1999, Vietnamese troops allegedly shot a Philippine air force plane flying over Pigeon Reef (a reef controlled by Vietnam). Vietnam accused Philippines of seriously violating Vietnam's sovereignty and reiterated its claim to sovereignty over all the Spratly Islands. In the first two months of 2000, Philippines navy boarded several Chinese fishing vessels and fired warning shots across the bows of two Chinese vessels near the Scarborough Shoal. The participants mentioned that they wanted to solve the Spratlys issue peacefully after the incidents."
4130,"Sudanese officials accused the Ethiopian army of leading a military attack in southern Sudan, using Sudanese rebels as a cover. Sudan claims to have repulsed the attack. Ethiopia has denied the charge, although it is said to have allowed freedom of movement and logistical support for the poorly armed rebels. Sudan accused both Eritrea and Uganda of similar support for rebels. "
4132,"The Yemeni government accused the Eritrean authorities of holding some 200 Yemeni fishermen and 40 boats since May 1997 because they were fishing in an area which Yemen believes is inside its territorial waters. Negotiations were held via diplomatic channels between the two countries “to resolve this question and secure the release of the Yemeni fishermen held in Asmara since May."" Yemen and Eritrea had a territorial water dispute that flared after Eritrea seized the island of Greater Hanish in 1995. The international court of justice ruled the return of the island to Yemen in May 1998."
4133,"Turkish planes violated Greek airspace near Samos on 3/12/99, with Greek planes intercepting. A week later, Turkey threatened a Greek missile site if it ""again"" threatened Turkish planes. On 5/6/99, Turkish planes violated Greek airspace southwest of Rhodes, where they were intercepted by Greek planes."
4134,"The day after an assassination attempt on Egyptian president Mubarak clashes break out in the disputed border region Halaib between Sudan and Egypt. Both sides accuse each other of starting the clashes. In the following days, Egypt expels 70 Sudanese police officers, moves further troops into the region and fortifies the border with Sudan. Sudan seizes Egyptian property in Khartoum and stages army exercises as a show of force. Sudanese officials even talked of mobilization; there were however no formal steps in that direction. Egyptian- Sudanese ties began deteriorating shortly after Gen. Omar Al Bashir seized power in Khartoum in 1989 and installed a Muslim fundamentalist government. The tensions grew in 1990 when Bashir's government backed Iraq during the Gulf War, and again in 1991 when Sudan granted a Canadian oil firm concessions in the disputed border area claimed by Egypt. Egypt has for more than a year accused Sudan of collaborating with Iran in arming, financing and training Muslim militants to carry out acts of subversion and violence in Egypt. Egypt claims ownership to Halaib and offshore areas in the red sea under an 1899 agreement that set the frontier along the 22nd parallel. It has said Egypt gave Sudan administrative powers in Halaib in 1902 because Sudanese tribes inhabited the triangular enclave. Sudan contends the Egyptian claim and says it has ""full sovereignty"" over the Halaib area."
4135,"Fighting between Cambodian government forces and Khmer Rouge rebels inside Cambodia near the Thai border results in shells landing in Thailand, prompting Thai military forces to fire back into Cambodia. Other incidents in this dispute include a military alert by Thai forces and the movement of troops to the border area to prevent Cambodian refugees from entering Thailand. Fighting between Cambodian government forces and Khmer Rouge rebels inside Cambodia near the Thai border results in shells landing in Thailand, prompting Thai military forces to fire back into Cambodia. Other incidents in this dispute include a military alert by Thai forces and the movement of troops to the border area to prevent Cambodian refugees from entering Thailand."
4136,Yugoslavia fortified border with Albania and showed force in response to civil unrest in Albania involving the legitimacy of the government and the situation in Kosovo. 
4137,"In response to Yugoslav military activity in the bordering Kosovo region, Albania, followed by other nations, took military action against Yugoslavia. Albania began by fortifying its border with Yugoslavia, and engaged in numerous subsequent incidents with Yugoslavia over its stance toward ethnic Albanians in Kosovo. Beginning in mid-1998, NATO states began conducting military exercises and other shows of force and began to threaten Yugoslavia with airstrikes if it did not change its Kosovo policy. Yugoslavia responded with mobilizations and other militarized actions. From 3/24/99, NATO countries began carrying out airstrikes against Yugoslavia, which acceded to NATO demands to leave Kosovo in early June 1999. NATO bombings ceased on 6/10/99."
4138,"This dispute involves demarcation of territorial waters between Myanmar and Thailand. In this instance, a Thai fishing trawler in the disputed territorial waters is attacked by an armed Burmese fishing boat. A Thai naval vessel responds to the distress call and is fired upon by the Burmese fishing boat. The Thai patrol boat returns fire and is subsequently attacked by two Burmese frigates. The Thai vessel returns fire against the Burmese frigates. Burma's claim to the waters is based on old British charts, while Thailand's claim rests on charts drafted by France. The exchange of gunfire occurs off the west coast of Thailand, near the city of Ranong."
4140,"On November 30, 1999, the Honduran parliament ratified a maritime treaty with Colombia that had been signed in 1986.The treaty covered the Caribbean Sea and recognized the San Andres Archipelago, also claimed by Nicaragua, as Colombian territory. On December 1, 1999, Nicaragua put its military forces on alert. The treaty covered the Caribbean Sea recognizing San Andres Archipelago, claimed by Nicaragua, as Colombian territory. Nicaraguan President Aleman also announced that they would break the preferential trade relations with Honduras by imposing a 35 percent “patriotic tax” on imports from Honduras. On December 3, 1999, Honduran Defense Minister alleged that following the ratification of their treaty with Colombia, about 60 Nicaraguan soldiers were deployed on the border near Honduran town of Trojes. Honduran citizens also claimed that they saw Nicaraguan soldiers near Gausaule. Nicaragua denied the allegations. Honduras asked neutral observers from UN or OAS to monitor the border, and the UN announced that it was ready to provide assistance, but by December 6 the Nicaraguans appeared to be withdrawn. Also on December 3, 1999, Nicaragua protested Honduran troop movements in the Platano River Biosphere area that had begun on November 29 to combat drug smuggling and illegal logging. Honduras called off the exercises called “Operation Jaguar.” On December 7, both sides pledged to the UN that they would solve their problems diplomatically, and the OAS became involved in mediating the dispute. On December 30, 1999, OAS mediator Einaudi announced that, pending a World Court decision, Nicaragua and Honduras had agreed on an immediate separation of their forces on the border. Later on January 13, the Central American Court of Justice asked the suspension of the Nicaraguan tariff, which Nicaragua did in less than a month. A military buffer zone was also set up, and both countries agreed on 8 February 2000 to reduce the number of troops on the border. Additional incidents continued, though. Nicaragua's ambassador to the WTO accused Honduras of moving troops to the border in April -- a charge that Honduras denied -- and warned Honduras and Colombia of ""unforeseen consequences"" of their naval presence in disputed Caribbean waters. In July 2000, Nicaragua twice protested the Honduran occupation of four islets (Sur, Robel, Arrecife Alargado, and Media Luna) in the Caribbean Sea, claiming Nicaraguan ownership. The Honduran Foreign Ministry responded by claiming that the islets were Honduran property, and there is no further information on the islets afterward."
4141,"Following the 1999 ratification of a 1986 maritime treaty between Honduras and Colombia, Nicaragua and Honduras experienced a series of disputes on their territorial waters. On February 15, 2000, Nicaragua’s Vice Foreign Minister requested Honduras to fulfill its promise to dismantle the army camp on the Cayo Sur islet in the Caribbean, which was set up after the ratification. He also pointed out that their forces knew “how to fight” and had the modern technology to do so. The Honduran government reacted by calling this appeal “hostile and warlike.” Four days later, on February 19, 2000, Nicaraguan and Honduran speed boats clashed in the Gulf of Fonseca. Both countries blamed each other for initiating the incident. This was followed by a second incident on February 25, 2000. Nicaragua claimed that a Honduran navy vessel entered Nicaraguan territorial waters and opened fire on two Nicaraguan patrol boats that had been stationed in the area to prevent illegal fishing. Nicaraguan boats pursued the Honduran vessel until it reached Honduran waters. Honduran officials claimed that Nicaraguan boats initiated the fire. On March 7, tensions started to decrease with a Nicaragua- Honduras border accord sponsored by the OAS. According to the accord, until the International Court of Justice rules on the case, the two countries agreed to conduct joint patrols in the area. Later in April, Nicaragua continued to seize Honduran fishing boats in the Gulf of Fonseca, claiming they were fishing in Nicaraguan territorial waters. Finally, in May, the two countries agreed to mark their maritime border."
